NAME,B01003_001E,B19013_001E,B25046_001E,B08126_001E,B08301_001E,state,county,tract
Census Tract 5326.07; Los Angeles County; California,4943,47566,2389,2060,2060,06,037,532607
Census Tract 5327; Los Angeles County; California,3306,55948,1456,1392,1392,06,037,532700
Census Tract 5328; Los Angeles County; California,4392,47768,2023,1684,1684,06,037,532800
Census Tract 5329; Los Angeles County; California,6620,42121,2447,2728,2728,06,037,532900
Census Tract 5330.01; Los Angeles County; California,4502,59353,2153,1598,1598,06,037,533001
Census Tract 5330.02; Los Angeles County; California,2403,46579,1272,841,841,06,037,533002
Census Tract 5331.03; Los Angeles County; California,3211,52054,1413,1410,1410,06,037,533103
Census Tract 5331.04; Los Angeles County; California,4451,47679,1776,1902,1902,06,037,533104
Census Tract 5331.05; Los Angeles County; California,2419,45990,1242,1086,1086,06,037,533105
Census Tract 5331.08; Los Angeles County; California,4751,49741,2185,2325,2325,06,037,533108
Census Tract 5332.01; Los Angeles County; California,2421,67708,1149,1131,1131,06,037,533201
Census Tract 5332.04; Los Angeles County; California,4451,67500,2156,2059,2059,06,037,533204
Census Tract 5333; Los Angeles County; California,2993,43571,1530,1266,1266,06,037,533300
Census Tract 5334.01; Los Angeles County; California,4923,61295,2327,2365,2365,06,037,533401
Census Tract 5334.02; Los Angeles County; California,3770,51053,1838,1568,1568,06,037,533402
Census Tract 5334.03; Los Angeles County; California,2505,65386,1421,1104,1104,06,037,533403
Census Tract 5335.01; Los Angeles County; California,2852,74286,1407,1460,1460,06,037,533501
Census Tract 5335.04; Los Angeles County; California,4045,60947,1862,1894,1894,06,037,533504
Census Tract 5336.01; Los Angeles County; California,4279,59559,2009,1812,1812,06,037,533601
Census Tract 5336.02; Los Angeles County; California,4932,51291,2585,1971,1971,06,037,533602
Census Tract 5336.03; Los Angeles County; California,6407,50774,3133,2377,2377,06,037,533603
Census Tract 5337.01; Los Angeles County; California,3009,60104,1536,1485,1485,06,037,533701
